name, id, image, web, bio
আব্দুল্যাহ আদিল মাহমুদ, adil, "../img/site/adil.jpeg", "www.thinkermahmud.com", "অনলাইন পোর্টাল বিশ্ব ডট কম-এর প্রতিষ্ঠাতা ও সম্পাদক। প্রকাশিত বইয়ের সংখ্যা ছয়টি। ক্যাডেট কলেজে শিক্ষকতা পেশায় নিয়োজিত আছেন।"
মোকারম হোসাইন, mokarom, "../img/site/mokarom.png", "#", "বৈজ্ঞানিক কর্মকর্তা, বিসিএসআইআর। পড়াশোনা করেছেন ঢাকা বিশ্ববিদ্যালয়ে। ছাত্রজীবন থেকেই বিজ্ঞান লেখালেখির সাথে যুক্ত।"
নাসরুল্লাহ মাসুদ, nasrullah, "../img/site/nasrullah.jpeg", "http://scholar.google.com/citations?user=NDQy8_kAAAAJ&hl=en", "বরেন্দ্র বিশ্ববিদ্যালয়ের শিক্ষক হিসেবে কর্মরত আছেন।"
